question,correct_document,retrieved_documents,position,correct_found,question_lang,num_czech,num_engl
Které GPU akcelerátory jsou podporovány platformou?,Přehled platformy kontejnerů,"JupyterHub, GPU a další zdroje, Spuštění Virtuálního Stroje, JupyterHub, Spuštění Virtuálního Stroje",,False,cz,5,0
Jaké jsou požadavky pro používání platformy kontejnerů?,Přehled platformy kontejnerů,"Přehled platformy kontejnerů, Přehled platformy kontejnerů, Projekty, Namespaces a Kvóty, Bezpečnostní Kontext, Dockerfile",1.0,True,cz,5,0
Jaké znalosti jsou potřebné pro kontejnerizaci aplikace na této platformě?,Přehled platformy kontejnerů,"Přehled platformy kontejnerů, Přehled platformy kontejnerů, Bezpečnostní Kontext, Projekty, Namespaces a Kvóty, Bezpečnostní Kontext",1.0,True,cz,5,0
Jaké typy síťových spojení mezi uzly platforma poskytuje?,Přehled platformy kontejnerů,"Přehled platformy kontejnerů, Přehled platformy kontejnerů, Dostupný hardware, Dostupný hardware, Úložiště",1.0,True,cz,5,0
Jaké tři způsoby využití platformy jsou k dispozici pro uživatele?,Přehled platformy kontejnerů,"Jak získat přístup, Moodle, Přehled platformy kontejnerů, ShinySOM, RStudio",3.0,True,cz,5,0
Jaký je rozdíl mezi vydavateli `letsencrypt-prod` a `letsencrypt-prod-dns`?,Certifikát,"Certifikát, Certificate, Vystavování aplikací, Certifikát, Tutorial pro Hello World",1.0,True,cz,4,1
Jaké jsou dostupné vydavatelé certifikátů v Kubernetes a jaké jsou jejich specifické použití?,Certifikát,"Certifikát, Certifikát, Certificate, Vystavování aplikací, Vystavování aplikací",1.0,True,cz,4,1
Co obsahuje tajemství generované pomocí konfigurace certifikátu v Kubernetes?,Certifikát,"Certifikát, Certifikát, Vystavování aplikací, Vystavování aplikací, Secrets pro úložiště",1.0,True,cz,5,0
Jak lze nakonfigurovat vydání certifikátu spravovaného Kubernetes pomocí protokolu ACME?,Certifikát,"Certifikát, Vystavování aplikací, Certifikát, Vystavování aplikací, Vystavování aplikací",1.0,True,cz,5,0
"Který vydavatel certifikátu by měl být použit pro aplikace, které nejsou vystavovány prostřednictvím Ingress?",Certifikát,"Certifikát, Vystavování aplikací, Spark Operator, Vystavování aplikací, Certifikát",1.0,True,cz,5,0
Kdo má nárok na bezplatný přístup k uživatelskému rozhraní Rancher?,Jak získat přístup,"Jak získat přístup, Secrets pro úložiště, Žádost o projekt, řízení přístupu, Rancher, Žádost o projekt, řízení přístupu",1.0,True,cz,5,0
Jaký je proces prodloužení uživatelského účtu na platformě?,Jak získat přístup,"Jak získat přístup, Jak získat přístup, How to get Access, Jak získat přístup, How to get Access",1.0,True,cz,3,2
Jaké jsou základní podmínky pro získání přístupu k platformě CERIT-SC Kubernetes?,Jak získat přístup,"Jak získat přístup, How to get Access, Přehled platformy kontejnerů, Žádost o projekt, řízení přístupu, Přehled platformy kontejnerů",1.0,True,cz,4,1
Kde mohu změnit heslo pro svůj uživatelský účet v Metacentru?,Jak získat přístup,"How to get Access, Harbor (hub.cerit.io), Ansys, Jak získat přístup, Jak získat přístup",4.0,True,cz,4,1
Jaký vzorec poděkování by měl být použit v publikacích vytvořených s podporou MetaCentra?,Jak získat přístup,"Jak získat přístup, Jak získat přístup, How to get Access, How to get Access, JupyterHub",1.0,True,cz,3,2
Jak mohu kontaktovat tým spravující požadavkový systém?,Kontakty,"Kontakty, Žádost o projekt, řízení přístupu, Ansys, Matlab, Žádost o projekt, řízení přístupu",1.0,True,cz,5,0
