question,correct_document,retrieved_documents,position,correct_found,question_lang,num_czech,num_engl
What role does CERIT-SC play in the national e-INFRA CZ research infrastructure?,Contacts,"Contacts, How to get Access, How to get Access, Jak získat přístup, Jak získat přístup",1.0,True,en,2,3
What kind of support does CERIT-SC offer for Kubernetes?,Contacts,"Contacts, Welcome to the CERIT-SC Kubernetes Container Platform, How to get Access, Storage, Contacts",1.0,True,en,0,5
What is the email address for general inquiries or service information at CERIT-SC?,Contacts,"Contacts, Storage, How to get Access, Welcome to the CERIT-SC Kubernetes Container Platform, Requesting a Project, Access Control",1.0,True,en,0,5
Who are the other partners alongside CERIT-SC in the national e-INFRA CZ research infrastructure?,Contacts,"Contacts, How to get Access, How to get Access, Jak získat přístup, Jak získat přístup",1.0,True,en,2,3
How can I submit a request for issues related to Kubernetes at CERIT-SC?,Contacts,"Contacts, Requesting a Project, Access Control, Welcome to the CERIT-SC Kubernetes Container Platform, Storage, How to get Access",1.0,True,en,0,5
What is the purpose of the `.Renviron` file when running RStudio in the Sensitive Cloud?,RStudio,"RStudio, RStudio, RStudio, RStudio, RStudio",1.0,True,en,0,5
How can you install additional packages using `conda` or `mamba` in RStudio according to the documentation?,RStudio,"RStudio, Desktop, Desktop, Running Virtual Machine, Desktop",1.0,True,en,1,4
What should you do if you need more than the default CPU quota for running RStudio as a Rancher Application?,RStudio,"RStudio, Rancher Applications, Desktop, RStudio, Ansys",1.0,True,en,0,5
What is the recommended method for running RStudio according to the documentation?,RStudio,"RStudio, RStudio, RStudio, RStudio, RStudio",1.0,True,en,0,5
How can you ensure that your home directory content is preserved when reinstalling RStudio on Rancher?,RStudio,"RStudio, RStudio, RStudio, RStudio, Storage Secrets",1.0,True,en,0,5
How can I preserve the contents of the home directory when reinstalling the Ansys application?,Ansys,"Ansys, Matlab, Ansys, Ansys, Minio",1.0,True,en,0,5
What is the difference between using VNC and WEBRTC to access the Ansys application?,Ansys,"Ansys, Ansys, Desktop, Matlab, Ansys",1.0,True,en,0,5
How can I select the version of the Ansys application to run?,Ansys,"Rancher Applications, Ansys, Ansys, Ansys, Matlab",2.0,True,en,0,5
What should I do if the Ansys installation appears to fail but actually works after some time?,Ansys,"Ansys, Ansys, Ansys, Rancher Applications, Ansys",1.0,True,en,1,4
What steps should I follow to delete a running instance of the Ansys application?,Ansys,"Ansys, ShinySOM, Rancher Applications, RStudio, Ansys",1.0,True,en,0,5
How can ingress authentication be implemented using basic auth or oauth in a Kubernetes cluster?,Security and Network Policy,"Security and Network Policy, Bezpečnost a síťová politika, Security and Network Policy, Security and Network Policy, Exposing Applications",1.0,True,en,1,4
What is the security flaw associated with ingress authentication as described in the documentation?,Security and Network Policy,"Security and Network Policy, Security and Network Policy, Security and Network Policy, Bezpečnost a síťová politika, Exposing Applications",1.0,True,en,1,4
What annotations need to be added to an existing ingress to implement e-infra's SSO service?,Security and Network Policy,"Security and Network Policy, Security and Network Policy, Security and Network Policy, Spark Operator, Security and Network Policy",1.0,True,en,0,5
What changes need to be made to configure the SSO endpoint for securing an application with e-infra's SSO service?,Security and Network Policy,"Security and Network Policy, Security and Network Policy, Spark Operator, Exposing Applications, Bezpečnost a síťová politika",1.0,True,en,1,4
How can the security flaw in ingress authentication be mitigated?,Security and Network Policy,"Security and Network Policy, Security and Network Policy, Security and Network Policy, Bezpečnost a síťová politika, Exposing Applications",1.0,True,en,1,4
What network policies can be applied to restrict access to the MinIO Tenant?,MinIO Operator,"MinIO Operator, MinIO Operator, MinIO Operator, MinIO Operator, MinIO Operator",1.0,True,en,3,2
How can you deploy a single instance of MinIO on Kubernetes using the MinIO Operator?,MinIO Operator,"MinIO Operator, MinIO Operator, Minio, MinIO Operator, Operator Summary",1.0,True,en,1,4
What is the purpose of the MinIO Operator on Kubernetes?,MinIO Operator,"MinIO Operator, MinIO Operator, Operator Summary, Minio, MPI Operator",1.0,True,en,1,4
How can you access the MinIO S3 storage from other Pods within the Kubernetes cluster?,MinIO Operator,"MinIO Operator, MinIO Operator, MinIO Operator, Minio, MinIO Operator",1.0,True,en,0,5
What are the specifications required for MinIO Pools in a Tenant?,MinIO Operator,"MinIO Operator, MinIO Operator, MinIO Operator, MinIO Operator, MinIO Operator",1.0,True,en,2,3
What should a user do if no cluster is shown after logging into the Rancher dashboard?,Rancher,"Rancher, Storage Secrets, Desktop, Running Virtual Machine, Scipion",1.0,True,en,0,5
Where can you find the list of clusters you are allowed to access in Rancher?,Rancher,"Rancher, Rancher, Requesting a Project, Access Control, Storage Secrets, Rancher Applications",1.0,True,en,1,4
What are the available login options for accessing the Rancher instance?,Rancher,"Storage Secrets, Rancher, RStudio, Desktop, RStudio",2.0,True,en,0,5
What is the default namespace created for each user in Rancher?,Rancher,"Rancher, Namespaces, Namespaces, Rancher, Projects, Namespaces, and Quotas",1.0,True,en,0,5
"How are clusters, projects, and namespaces organized within Rancher and Kubernetes?",Rancher,"Rancher, Namespaces, Rancher, Rancher, Rancher",1.0,True,en,2,3
What are the potential risks associated with using external Docker images from public registries?,Dockerfile,"Building Docker containers with Gitlab, Welcome to the CERIT-SC Kubernetes Container Platform, Dockerfile, Dockerfile, Harbor (hub.cerit.io)",3.0,True,en,0,5
What should you do if a Docker image has an `ENTRYPOINT` set and you want to execute a different command?,Dockerfile,"Dockerfile, Dockerfile, Dockerfile, Add shell to an image without one, Dockerfile",1.0,True,en,1,4
Why is it important to use `&&` instead of `;` when chaining commands in a Dockerfile?,Dockerfile,"Dockerfile, Dockerfile, Dockerfile, Dockerfile, Dockerfile",1.0,True,en,0,5
How can you manually build a Docker image using a Dockerfile on a Linux machine?,Dockerfile,"Dockerfile, Dockerfile, Dockerfile, Dockerfile, Dockerfile",1.0,True,en,0,5
What is the recommended way to merge related commands in a Dockerfile to optimize image size?,Dockerfile,"Dockerfile, Dockerfile, Welcome to the CERIT-SC Kubernetes Container Platform, Dockerfile, Dockerfile",1.0,True,en,0,5
What changes are needed in the `before_script` section to upload an image to a custom container registry?,Building Docker containers with Gitlab,"Building Docker containers with Gitlab, Building Docker containers with Gitlab, Vytváření Docker kontejnerů s GitLab, Jobs, Building Docker containers with Gitlab",1.0,True,en,1,4
How can you configure the `.gitlab-ci.yml` file to build and push Docker images?,Building Docker containers with Gitlab,"Building Docker containers with Gitlab, Building Docker containers with Gitlab, Dockerfile, Dockerfile, Vytváření Docker kontejnerů s GitLab",1.0,True,en,1,4
How can you run Docker images from the GitLab Container Registry if the project is public?,Building Docker containers with Gitlab,"Building Docker containers with Gitlab, Dockerfile, Vytváření Docker kontejnerů s GitLab, Building Docker containers with Gitlab, Building Docker containers with Gitlab",1.0,True,en,1,4
What happens when the pipeline job succeeds in the GitLab CI/CD process?,Building Docker containers with Gitlab,"Building Docker containers with Gitlab, GitLab Runner in Kubernetes, Building Docker containers with Gitlab, GitLab Runner in Kubernetes, Vytváření Docker kontejnerů s GitLab",1.0,True,en,1,4
What are the prerequisites for setting up a GitLab pipeline to build and publish a Docker image?,Building Docker containers with Gitlab,"Building Docker containers with Gitlab, Vytváření Docker kontejnerů s GitLab, Building Docker containers with Gitlab, Dockerfile, Dockerfile",1.0,True,en,1,4
How can users access the CERIT-SC Kubernetes Container Platform?,Welcome to the CERIT-SC Kubernetes Container Platform,"Welcome to the CERIT-SC Kubernetes Container Platform, Contacts, How to get Access, Storage, Jak získat přístup",1.0,True,en,1,4
What architecture does the CERIT-SC Kubernetes Container Platform support?,Welcome to the CERIT-SC Kubernetes Container Platform,"Welcome to the CERIT-SC Kubernetes Container Platform, Contacts, Available Hardware, How to get Access, Storage",1.0,True,en,0,5
What networking capabilities are available on the CERIT-SC Kubernetes Container Platform?,Welcome to the CERIT-SC Kubernetes Container Platform,"Welcome to the CERIT-SC Kubernetes Container Platform, Contacts, How to get Access, Available Hardware, Jak získat přístup",1.0,True,en,1,4
What resources are available for users wanting to develop custom applications on the platform?,Welcome to the CERIT-SC Kubernetes Container Platform,"Welcome to the CERIT-SC Kubernetes Container Platform, Welcome to the CERIT-SC Kubernetes Container Platform, Desktop, ShinySOM, Rancher Applications",1.0,True,en,0,5
What types of applications and workflows can be deployed on the platform?,Welcome to the CERIT-SC Kubernetes Container Platform,"Welcome to the CERIT-SC Kubernetes Container Platform, Přehled platformy kontejnerů, Welcome to the CERIT-SC Kubernetes Container Platform, Přehled platformy kontejnerů, Rancher Applications",1.0,True,en,2,3
How can an administrator assign a group to a project in CESNET Perun?,"Requesting a Project, Access Control","Requesting a Project, Access Control, Žádost o projekt, řízení přístupu, Requesting a Project, Access Control, Requesting a Project, Access Control, Requesting a Project, Access Control",1.0,True,en,1,4
How can someone who is not a member of MetaCentrum register to access projects in Rancher?,"Requesting a Project, Access Control","Requesting a Project, Access Control, Rancher, Storage Secrets, Žádost o projekt, řízení přístupu, Secrets pro úložiště",1.0,True,en,2,3
What information is needed to request a new group for access control if you don't have one yet?,"Requesting a Project, Access Control","Requesting a Project, Access Control, Requesting a Project, Access Control, Žádost o projekt, řízení přístupu, Requesting a Project, Access Control, Requesting a Project, Access Control",1.0,True,en,1,4
What should you do if you need a group project and the request form is not yet available?,"Requesting a Project, Access Control","Requesting a Project, Access Control, Requesting a Project, Access Control, Žádost o projekt, řízení přístupu, Requesting a Project, Access Control, Žádost o projekt, řízení přístupu",1.0,True,en,2,3
What are the two types of projects in a Kubernetes cluster according to the documentation?,"Requesting a Project, Access Control","Projects, Namespaces, and Quotas, Requesting a Project, Access Control, Projekty, Namespaces a Kvóty, Žádost o projekt, řízení přístupu, Storage",2.0,True,en,2,3
How can I access the Rancher platform to start installing Moodle?,Moodle,"Moodle, Moodle, phpMyAdmin, Desktop, Moodle",1.0,True,en,1,4
How do I configure the hostname and login credentials during the Moodle installation process?,Moodle,"Moodle, Moodle, Moodle, Moodle, phpMyAdmin",1.0,True,en,1,4
What steps do I need to follow to select and install the Moodle application in Rancher?,Moodle,"Moodle, Moodle, phpMyAdmin, Rancher Applications, Moodle",1.0,True,en,1,4
How can I delete a running Moodle instance and ensure my data is not lost?,Moodle,"Moodle, Moodle, ShinySOM, Moodle, Moodle",1.0,True,en,1,4
What options are available for database configuration when installing Moodle?,Moodle,"Moodle, Moodle, Moodle, Moodle, phpMyAdmin",1.0,True,en,1,4
What are the CPU limits for the default project in Rancher Applications?,Rancher Applications,"Rancher Applications, Desktop, RStudio, Desktop, Requesting a Project, Access Control",1.0,True,en,1,4
"What happens if you do not select ""Customize Helm options before install"" during the application installation?",Rancher Applications,"Ansys, Scipion, Ansys, Rancher Applications, FAQ",4.0,True,en,0,5
