question,correct_document,retrieved_documents,position,correct_found,question_lang,num_czech,num_engl
What are the specific requirements for running the nf-core/sarek pipeline on Kubernetes?,Running Nextflow Pipelines in Kubernetes,"Running Nextflow Pipelines in Kubernetes, Welcome to the CERIT-SC Kubernetes Container Platform, FAQ, Tutorial pro Hello World, Hello world tutorial",1.0,True,en,1,4
What are the necessary configurations required in the `nextflow.config` file to run a Nextflow pipeline in Kubernetes?,Running Nextflow Pipelines in Kubernetes,"Running Nextflow Pipelines in Kubernetes, Spuštění Nextflow Pipelines v Kubernetes, FAQ, GitLab Runner in Kubernetes, Hello world tutorial",1.0,True,en,1,4
What command should you use to start a Nextflow pipeline in a Kubernetes environment?,Running Nextflow Pipelines in Kubernetes,"Running Nextflow Pipelines in Kubernetes, Spuštění Nextflow Pipelines v Kubernetes, Hello world tutorial, MPI Operator, Logging",1.0,True,en,1,4
How do you install Nextflow on your local computer for running pipelines in a Kubernetes cluster?,Running Nextflow Pipelines in Kubernetes,"Running Nextflow Pipelines in Kubernetes, Spuštění Nextflow Pipelines v Kubernetes, Hello world tutorial, GitLab Runner in Kubernetes, Postgres Operator Cloudnative-PG",1.0,True,en,1,4
How can you debug a Nextflow pipeline running in Kubernetes if you encounter issues?,Running Nextflow Pipelines in Kubernetes,"Running Nextflow Pipelines in Kubernetes, Spuštění Nextflow Pipelines v Kubernetes, Logging, FAQ, Logging",1.0,True,en,2,3
"How many different notebook servers can a student create, and why might this be useful?",NBGrader Docs,"JupyterHub, BinderHub, NBGrader Docs, JupyterHub, NBGrader Docs",3.0,True,en,2,3
What is the primary instance URL for accessing jupytul?,NBGrader Docs,"JupyterHub, JupyterHub, BinderHub, Scipion, NBGrader Docs",5.0,True,en,2,3
What steps must be taken to add a student to a course in NBGrader Tulhub?,NBGrader Docs,"NBGrader Docs, NBGrader Docs, Moodle, Moodle, phpMyAdmin",1.0,True,en,2,3
How can a student resolve the issue of not seeing the correct course upon logging in?,NBGrader Docs,"Moodle, NBGrader Docs, NBGrader Docs, phpMyAdmin, RStudio",2.0,True,en,1,4
What should instructors do if they have been added to a course as an instructor after previously accessing jupytul?,NBGrader Docs,"NBGrader Docs, NBGrader Docs, JupyterHub, BinderHub, Moodle",1.0,True,en,1,4
What is the procedure for installing CUDA using the described method?,Running Virtual Machine,"Running Virtual Machine, Spuštění Virtuálního Stroje, Running Nextflow Pipelines in Kubernetes, FAQ, JupyterHub",1.0,True,en,2,3
