question,correct_document,retrieved_documents,position,correct_found,question_lang,num_czech,num_engl
Jak vytvoříte ad-hoc PVC pomocí šablony pvc.yaml?,Úložiště,"Jak spustit webový server NGINX, Úložiště, Bezpečnostní Kontext, Spuštění Virtuálního Stroje, Tutorial pro Hello World",2.0,True,cz,5,0
Jaké jsou rozdíly mezi ephemeral úložištěm z místního disku a místní paměti?,Úložiště,"Úložiště, Harbor (hub.cerit.io), Přidání shellu do obrazu, který jej nemá, Secrets pro úložiště, GPU a další zdroje",1.0,True,cz,5,0
Jaké informace jsou potřeba pro přístup k úložišti WebDAV prostřednictvím PVC?,Úložiště,"Úložiště, Jak spustit webový server NGINX, Minio, Bezpečnostní Kontext, ownCloud",1.0,True,cz,5,0
Jaké typy úložiště nabízí Kubernetes pro dynamické vytváření objemů?,Úložiště,"Spuštění Nextflow Pipelines v Kubernetes, Úložiště, Tutorial pro Hello World, Projekty, Namespaces a Kvóty, Harbor (hub.cerit.io)",2.0,True,cz,5,0
Jaké jsou tři hlavní objekty Kubernetes související s úložištěm?,Úložiště,"Harbor (hub.cerit.io), Projekty, Namespaces a Kvóty, Přidání shellu do obrazu, který jej nemá, Žádost o projekt, řízení přístupu, GitLab Kubernetes Agent",,False,cz,5,0
Jaké informace je nutné zadat při přihlašování do phpMyAdmin?,phpMyAdmin,"phpMyAdmin, Desktop, Ansys, ShinySOM, Dockerfile",1.0,True,cz,5,0
Jaké údaje je třeba vyplnit při přizpůsobení aplikace phpMyAdmin?,phpMyAdmin,"phpMyAdmin, Desktop, BinderHub, Projekty, Namespaces a Kvóty, ShinySOM",1.0,True,cz,5,0
Jaké kroky jsou potřeba k instalaci aplikace phpMyAdmin?,phpMyAdmin,"phpMyAdmin, BinderHub, Omezení spouštění Docker obrazů, Desktop, Harbor (hub.cerit.io)",1.0,True,cz,5,0
Jak se přihlásit na platformu potřebnou ke spuštění phpMyAdmin?,phpMyAdmin,"phpMyAdmin, Desktop, Projekty, Namespaces a Kvóty, ShinySOM, BinderHub",1.0,True,cz,5,0
Jakým způsobem lze aplikaci phpMyAdmin odinstalovat?,phpMyAdmin,"phpMyAdmin, phpMyAdmin, Desktop, ShinySOM, Minio",1.0,True,cz,4,1
Jaké jsou možnosti pro výběr zobrazovacího protokolu při instalaci desktopové aplikace?,Desktop,"Desktop, JupyterHub, BinderHub, NBGrader Docs, NBGrader Docs",1.0,True,cz,4,1
Jak mohu připojit externí úložiště k desktopové aplikaci?,Desktop,"Desktop, BinderHub, JupyterHub, NBGrader Docs, Matlab",1.0,True,cz,4,1
Jak se přihlásím do desktopové aplikace pomocí VNC?,Desktop,"Desktop, Matlab, Ansys, BinderHub, Samba Server",1.0,True,cz,5,0
"Co se stane, pokud aplikaci odstraním a později nainstaluji pod stejným názvem?",Desktop,"Matlab, Ansys, Desktop, ShinySOM, phpMyAdmin",3.0,True,cz,5,0
Jaký je rozdíl mezi použitím VNC a WEBRTC při připojování k běžící instanci aplikace?,Desktop,"Matlab, Desktop, Ansys, ownCloud, Spuštění Virtuálního Stroje",2.0,True,cz,5,0
Jaké kroky jsou nutné pro spuštění aplikace Scipion?,Scipion,"Scipion, Projekty, Namespaces a Kvóty, Desktop, Omezení spouštění Docker obrazů, Jak spustit webový server NGINX",1.0,True,cz,5,0
Jaké jsou požadavky na Onedata připojení při instalaci Scipionu?,Scipion,"Scipion, Ansys, Harbor (hub.cerit.io), Projekty, Namespaces a Kvóty, JupyterHub",1.0,True,cz,5,0
Jak lze přistupovat k běžící instanci Scipionu po instalaci?,Scipion,"Scipion, Harbor (hub.cerit.io), Ansys, BinderHub, Spuštění Virtuálního Stroje",1.0,True,cz,5,0
Jaký je doporučený postup pro výběr verze aplikace Scipion v Rancheru?,Scipion,"Scipion, Rancher Aplikace, RStudio, Desktop, Spuštění Virtuálního Stroje",1.0,True,cz,5,0
"Co se stane s daty aplikace Scipion, když je aplikace odstraněna a znovu nainstalována?",Scipion,"Scipion, ShinySOM, Desktop, Ansys, Minio",1.0,True,cz,5,0
Jaké dva druhy kvót zdrojů používá Kubernetes?,"Projekty, Namespaces a Kvóty","Přidání shellu do obrazu, který jej nemá, Tutorial pro Hello World, Spuštění Virtuálního Stroje, Projekty, Namespaces a Kvóty, Přehled platformy kontejnerů",4.0,True,cz,5,0
Jaký je správný postup pro vytvoření nového namespace pomocí uživatelského rozhraní Rancher?,"Projekty, Namespaces a Kvóty","Rancher, Projekty, Namespaces a Kvóty, Namespaces, RStudio, ShinySOM",2.0,True,cz,5,0
Jaké jsou důsledky překročení limitů zdrojů pro běžící kontejner?,"Projekty, Namespaces a Kvóty","Projekty, Namespaces a Kvóty, GPU a další zdroje, Secrets pro úložiště, BinderHub, NBGrader Docs",1.0,True,cz,4,1
