question,correct_document,retrieved_documents,position,correct_found,question_lang,num_czech,num_engl
Jak omezit grafy pouze na 'cerit-sc' při výběru aplikace k spuštění?,Rancher Aplikace,"Desktop, Rancher Aplikace, Ansys, Matlab, ownCloud",2.0,True,cz,5,0
Jaké kroky je třeba dodržet pro spuštění aplikace v Rancher?,Rancher Aplikace,"Rancher Aplikace, Scipion, Ansys, Desktop, Matlab",1.0,True,cz,5,0
Jaký prostor názvů by měl být vybrán před spuštěním aplikace?,Rancher Aplikace,"Matlab, Ansys, Projekty, Namespaces a Kvóty, RStudio, Rancher Aplikace",5.0,True,cz,5,0
Jaké jsou kvóty pro garantované CPU a limit CPU v rámci výchozího projektu?,Rancher Aplikace,"Projekty, Namespaces a Kvóty, Žádost o projekt, řízení přístupu, GPU a další zdroje, RStudio, Matlab",,False,cz,5,0
"Co se stane, když v kroku instalace aplikace nevyberete možnost 'Přizpůsobit možnosti Helm před instalací'?",Rancher Aplikace,"Matlab, Ansys, Rancher Aplikace, Scipion, ShinySOM",3.0,True,cz,5,0
Kde lze najít informace o různých Operátorech dostupných pro Kubernetes?,Přehled Operátorů,"Přehled Operátorů, MPI Operator, Přehled platformy kontejnerů, Spark Operator, MinIO Operator",1.0,True,cz,5,0
Jaké úkoly může Operátor automatizovat?,Přehled Operátorů,"Přehled Operátorů, Spark Operator, MinIO Operator, MPI Operator, Bezpečnostní Kontext",1.0,True,cz,5,0
Proč se nedoporučuje nasazovat Operátora v rámci jmenného prostoru?,Přehled Operátorů,"Přehled Operátorů, Namespaces, Ukládání Kubernetes Secrets do Gitu, FAQ, Projekty, Namespaces a Kvóty",1.0,True,cz,5,0
Co je hlavním účelem vzoru Operátora v Kubernetes?,Přehled Operátorů,"Spark Operator, Přehled Operátorů, MinIO Operator, MPI Operator, Přidání shellu do obrazu, který jej nemá",2.0,True,cz,5,0
Jaké jsou možné důsledky špatné konfigurace Operátora?,Přehled Operátorů,"Přehled Operátorů, FAQ, Bezpečnostní Kontext, Projekty, Namespaces a Kvóty, Spark Operator",1.0,True,cz,5,0
Jaký je postup pro připojení externího úložiště `storage-brno12-cerit.metacentrum.cz` k aplikaci RStudio?,RStudio,"RStudio, Ansys, Desktop, Matlab, Jak získat přístup",1.0,True,cz,5,0
Jak lze nainstalovat další balíčky pomocí `conda` nebo `mamba` v RStudiu?,RStudio,"RStudio, Spuštění Virtuálního Stroje, JupyterHub, Matlab, Scipion",1.0,True,cz,5,0
Jaké verze R jsou dostupné při spuštění RStudia jako aplikace Rancher?,RStudio,"RStudio, Rancher Aplikace, Desktop, Matlab, Ansys",1.0,True,cz,5,0
Jaké jsou dva způsoby spuštění RStudia podle dokumentace?,RStudio,"RStudio, Scipion, Rancher Aplikace, Desktop, VPN",1.0,True,cz,5,0
Kdo musí mít platný účet MetaCentrum pro použití JupyterHubu ke spuštění RStudia?,RStudio,"JupyterHub, RStudio, Jak získat přístup, Secrets pro úložiště, Matlab",2.0,True,cz,5,0
"Jaké jsou limity zdrojů (CPU, paměť, GPU) pro jednotlivé instance notebooků na JupyterHub?",JupyterHub,"BinderHub, JupyterHub, GPU a další zdroje, FAQ, Projekty, Namespaces a Kvóty",2.0,True,cz,5,0
Jaký mechanismus je implementován pro rozhodování o odstranění instance notebooku na základě využití zdrojů?,JupyterHub,"JupyterHub, Žádost o projekt, řízení přístupu, FAQ, Projekty, Namespaces a Kvóty, Matlab",1.0,True,cz,5,0
Jakým způsobem lze vytvořit a použít vlastní obraz pro JupyterHub?,JupyterHub,"Přidání shellu do obrazu, který jej nemá, JupyterHub, Vytváření Docker kontejnerů s GitLab, BinderHub, ownCloud",2.0,True,cz,5,0
Jaké předpřipravené obrazy jsou k dispozici pro uživatele JupyterHub?,JupyterHub,"JupyterHub, BinderHub, Přidání shellu do obrazu, který jej nemá, Vytváření Docker kontejnerů s GitLab, Harbor (hub.cerit.io)",1.0,True,cz,5,0
Jaké jsou požadavky na členství pro přístup k JupyterHub na hub.cloud.e-infra.cz?,JupyterHub,"JupyterHub, Secrets pro úložiště, Harbor (hub.cerit.io), BinderHub, Jak získat přístup",1.0,True,cz,5,0
Jakým způsobem je možné nasadit a zpřístupnit Omero webovou aplikaci na internetu pomocí Kubernetes?,Spuštění aplikace Omero,"Spuštění aplikace Omero, Přidání shellu do obrazu, který jej nemá, Vystavování aplikací, Tutorial pro Hello World, Matlab",1.0,True,cz,5,0
Jakým způsobem je možné nasadit databázi Postgres pro aplikaci Omero v Kubernetes?,Spuštění aplikace Omero,"Spuštění aplikace Omero, Postgres Operator Cloudnative-PG, Přidání shellu do obrazu, který jej nemá, Matlab, Jak spustit webový server NGINX",1.0,True,cz,5,0
Jaké kroky je třeba provést pro vytvoření tajemství pro přihlašovací údaje databáze Postgres?,Spuštění aplikace Omero,"Spuštění aplikace Omero, Postgres Operator Cloudnative-PG, Secrets pro úložiště, Ukládání Kubernetes Secrets do Gitu, MinIO Operator",1.0,True,cz,5,0
Jaké jsou požadavky na úložiště pro spuštění Omero serveru a Omero webové aplikace?,Spuštění aplikace Omero,"Spuštění aplikace Omero, Matlab, ShinySOM, Rancher Aplikace, Minio",1.0,True,cz,5,0
Jaké závislosti je třeba nasadit spolu s aplikací Omero v Kubernetes?,Spuštění aplikace Omero,"Spuštění aplikace Omero, Přidání shellu do obrazu, který jej nemá, Matlab, Rancher Aplikace, Tutorial pro Hello World",1.0,True,cz,5,0
Jaký prostor názvů by měl být vybrán pro uložení vygenerovaných objektů?,Secrets pro úložiště,"Projekty, Namespaces a Kvóty, Namespaces, Secrets pro úložiště, GitLab Kubernetes Agent, Žádost o projekt, řízení přístupu",3.0,True,cz,5,0
K čemu lze využít Samba tajemství?,Secrets pro úložiště,"Secrets pro úložiště, MinIO Operator, Samba Server, Ukládání Kubernetes Secrets do Gitu, RStudio",1.0,True,cz,5,0
Jaké typy objektů lze vytvořit pro přístup k úložišti v Kubernetes clusteru?,Secrets pro úložiště,"Secrets pro úložiště, Úložiště, Harbor (hub.cerit.io), Postgres Operator Cloudnative-PG, Přidání shellu do obrazu, který jej nemá",1.0,True,cz,5,0
"Jaké kroky je třeba podniknout, pokud není vaše kerberos jméno spojeno s Rancher účtem?",Secrets pro úložiště,"Secrets pro úložiště, Namespaces, Projekty, Namespaces a Kvóty, Rancher Aplikace, Ansys",1.0,True,cz,5,0
Jaké jsou požadavky pro použití služby generování tajemství?,Secrets pro úložiště,"Secrets pro úložiště, Certifikát, Ukládání Kubernetes Secrets do Gitu, MinIO Operator, Žádost o projekt, řízení přístupu",1.0,True,cz,5,0
"Jaké informace je třeba uvést v e-mailu, pokud žádám o skupinový projekt bez existující skupiny?","Žádost o projekt, řízení přístupu","Žádost o projekt, řízení přístupu, Jak získat přístup, Namespaces, Projekty, Namespaces a Kvóty, BinderHub",1.0,True,cz,5,0
Jaké jsou výchozí kvóty pro skupinový projekt?,"Žádost o projekt, řízení přístupu","Žádost o projekt, řízení přístupu, Projekty, Namespaces a Kvóty, Rancher, RStudio, BinderHub",1.0,True,cz,5,0
Jaký je postup pro přiřazení skupiny pro řízení přístupu k projektu?,"Žádost o projekt, řízení přístupu","Žádost o projekt, řízení přístupu, Harbor (hub.cerit.io), Projekty, Namespaces a Kvóty, Rancher, Matlab",1.0,True,cz,5,0
"Jaké informace je třeba zahrnout do e-mailu, pokud potřebuji větší individuální projekt?","Žádost o projekt, řízení přístupu","Žádost o projekt, řízení přístupu, Projekty, Namespaces a Kvóty, FAQ, Jak získat přístup, Harbor (hub.cerit.io)",1.0,True,cz,5,0
Jaké typy projektů jsou k dispozici v Kubernetes clusteru?,"Žádost o projekt, řízení přístupu","Žádost o projekt, řízení přístupu, Rancher, Dostupný hardware, Harbor (hub.cerit.io), Postgres Operator Cloudnative-PG",1.0,True,cz,5,0
Proč není dobrým nápadem pojmenovat namespace jako *test*?,Namespaces,"GitLab Kubernetes Agent, Namespaces, Jak spustit webový server NGINX, Projekty, Namespaces a Kvóty, Rancher",2.0,True,cz,5,0
Jak lze zkontrolovat existující namespaces v Rancher GUI?,Namespaces,"Namespaces, Rancher, Projekty, Namespaces a Kvóty, FAQ, Rancher Aplikace",1.0,True,cz,5,0
Jaký je postup pro vytvoření nového namespace v Rancher GUI?,Namespaces,"Namespaces, Projekty, Namespaces a Kvóty, Rancher, Secrets pro úložiště, Žádost o projekt, řízení přístupu",1.0,True,cz,5,0
Co poskytují namespaces v Kubernetes?,Namespaces,"Namespaces, Rancher, Projekty, Namespaces a Kvóty, Secrets pro úložiště, GitLab Kubernetes Agent",1.0,True,cz,5,0
