question,correct_document,retrieved_documents,position,correct_found,question_lang,num_czech,num_engl
"Jaký typ obsahu bych měl očekávat pod ikonou ""Single""?",News,"News, Žádost o projekt, řízení přístupu, Přidání shellu do obrazu, který jej nemá, Matlab, Scipion",1.0,True,cz,5,0
"Co znamená sekce s názvem ""News"" v dokumentaci?",News,"Projekty, Namespaces a Kvóty, Secrets pro úložiště, GitLab Kubernetes Agent, Namespaces, Žádost o projekt, řízení přístupu",,False,cz,5,0
"Jaký je účel této části dokumentace, když neobsahuje žádné informace?",News,"Žádost o projekt, řízení přístupu, Omezení spouštění Docker obrazů, Harbor (hub.cerit.io), Secrets pro úložiště, Jak získat přístup",,False,cz,5,0
"Je sekce ""News"" relevantní pro aktuální aktualizace nebo oznámení?",News,"News, Bezpečnostní Kontext, Žádost o projekt, řízení přístupu, Projekty, Namespaces a Kvóty, FAQ",1.0,True,cz,5,0
"Proč je v sekci ""none"" uvedeno ""none""?",News,"Omezení spouštění Docker obrazů, FAQ, News, Namespaces, VPN",3.0,True,cz,5,0
Jaké jsou dva způsoby spuštění RStudia podle dokumentace?,RStudio,"RStudio, RStudio, Scipion, Rancher Aplikace, Desktop",1.0,True,cz,4,1
Kdo musí mít platný účet MetaCentrum pro použití JupyterHubu ke spuštění RStudia?,RStudio,"JupyterHub, RStudio, RStudio, Jak získat přístup, Secrets pro úložiště",2.0,True,cz,4,1
Jaký je postup pro připojení externího úložiště `storage-brno12-cerit.metacentrum.cz` k aplikaci RStudio?,RStudio,"RStudio, Ansys, RStudio, Desktop, Matlab",1.0,True,cz,3,2
Jaké verze R jsou dostupné při spuštění RStudia jako aplikace Rancher?,RStudio,"RStudio, RStudio, Rancher Aplikace, Desktop, Matlab",1.0,True,cz,4,1
Jak lze nainstalovat další balíčky pomocí `conda` nebo `mamba` v RStudiu?,RStudio,"RStudio, Spuštění Virtuálního Stroje, RStudio, JupyterHub, Matlab",1.0,True,cz,4,1
Co je Snakemake?,Snakemake,"Snakemake, Secrets pro úložiště, FAQ, Přehled platformy kontejnerů, Scipion",1.0,True,cz,5,0
Jakým způsobem Snakemake pomáhá při správě workflow?,Snakemake,"Snakemake, TES/WES, TES/WES, Scipion, Spuštění Nextflow Pipelines v Kubernetes",1.0,True,cz,4,1
Jaké jsou hlavní funkce Snakemake?,Snakemake,"Snakemake, Scipion, Secrets pro úložiště, VPN, MinIO Operator",1.0,True,cz,5,0
Jaké jsou požadavky na instalaci Snakemake?,Snakemake,"Snakemake, Rancher Aplikace, Scipion, FAQ, Matlab",1.0,True,cz,5,0
Jaké jsou výhody použití Snakemake ve srovnání s jinými nástroji?,Snakemake,"Snakemake, TES/WES, Scipion, Secrets pro úložiště, Projekty, Namespaces a Kvóty",1.0,True,cz,5,0
Jaké typy definuje Spark Operator na úrovni clusteru?,Spark Operator,"Spark Operator, Spark Operator, MPI Operator, Postgres Operator Cloudnative-PG, Přehled Operátorů",1.0,True,cz,4,1
"Co musíte nastavit v konfiguraci, aby vaše Spark aplikace fungovala správně?",Spark Operator,"Spark Operator, Scipion, Rancher Aplikace, Postgres Operator Cloudnative-PG, Spark Operator",1.0,True,cz,4,1
Jakou alternativu k `hostPath` byste měli použít pro zdroje objemů v clusteru?,Spark Operator,"Přehled Operátorů, Projekty, Namespaces a Kvóty, Spark Operator, FAQ, Spark Operator",3.0,True,cz,4,1
Jaké jsou hlavní cíle Spark Operatoru?,Spark Operator,"Spark Operator, Spark Operator, Přehled Operátorů, MinIO Operator, MPI Operator",1.0,True,cz,4,1
Jak můžete poskytnout vlastní anotace pro SparkUI Ingress?,Spark Operator,"Spark Operator, Spark Operator, Osobní monitorování, Bezpečnost a síťová politika, Žádost o projekt, řízení přístupu",1.0,True,cz,4,1
Jaké podmínky musí uživatel splnit pro používání platformy?,Přehled platformy kontejnerů,"Jak získat přístup, Secrets pro úložiště, Přehled platformy kontejnerů, ShinySOM, JupyterHub",3.0,True,cz,5,0
Jaké orchestrátory a kontejnerové obrazy jsou použity na platformě kontejnerů?,Přehled platformy kontejnerů,"Přehled platformy kontejnerů, Tutorial pro Hello World, Přidání shellu do obrazu, který jej nemá, Welcome to the CERIT-SC Kubernetes Container Platform, Projekty, Namespaces a Kvóty",1.0,True,cz,4,1
Jaké hardwarové architektury a akcelerátory platforma podporuje?,Přehled platformy kontejnerů,"Přehled platformy kontejnerů, Dostupný hardware, Matlab, Rancher Aplikace, GPU a další zdroje",1.0,True,cz,5,0
Jaké znalosti jsou potřebné pro kontejnerizaci aplikace na této platformě?,Přehled platformy kontejnerů,"Přehled platformy kontejnerů, Jak spustit webový server NGINX, Přidání shellu do obrazu, který jej nemá, Projekty, Namespaces a Kvóty, Žádost o projekt, řízení přístupu",1.0,True,cz,5,0
