question,correct_document,retrieved_documents,position,correct_found,question_lang,num_czech,num_engl
What steps should be followed to generate an image using Open-WebUI?,Chat AI,"Chat AI, Desktop, JupyterHub, Add shell to an image without one, Building Docker containers with Gitlab",1.0,True,en,0,5
What is required to access Open-WebUI?,Chat AI,"Chat AI, Exposing Applications, Welcome to the CERIT-SC Kubernetes Container Platform, Matlab, Desktop",1.0,True,en,0,5
How can a user select a model for text generation in Open-WebUI?,Chat AI,"Chat AI, TES/WES, News, RStudio, Foldify",1.0,True,en,0,5
How does one create an API key for Open-WebUI?,Chat AI,"Chat AI, MinIO Operator, Storing Kubernetes Secrets in Git, Use case Omero, Running Virtual Machine",1.0,True,en,0,5
Which models are available for use in Open-WebUI as of February 2025?,Chat AI,"Chat AI, News, TES/WES, Foldify, Welcome to the CERIT-SC Kubernetes Container Platform",1.0,True,en,0,5
What credentials are needed to log in to the phpMyAdmin application once it is installed?,phpMyAdmin,"phpMyAdmin, ShinySOM, Personal Monitoring, Storage Secrets",1.0,True,en,0,4
How do I configure the port for my database when installing phpMyAdmin?,phpMyAdmin,"phpMyAdmin, Moodle, Postgres Operator Cloudnative-PG, Personal Monitoring",1.0,True,en,0,4
How can I uninstall the phpMyAdmin application from the App & Marketplace?,phpMyAdmin,"phpMyAdmin, ShinySOM, Minio, Moodle",1.0,True,en,0,4
How do I log in to the rancher.cloud.e-infra.cz platform to start using phpMyAdmin?,phpMyAdmin,"phpMyAdmin, Storage Secrets, Welcome to the CERIT-SC Kubernetes Container Platform, Running Virtual Machine",1.0,True,en,0,4
What steps do I need to follow to select the phpMyAdmin application from the app marketplace?,phpMyAdmin,"phpMyAdmin, ShinySOM, Scipion, Desktop",1.0,True,en,0,4
How can I ensure data persistence across different BinderHub instances?,BinderHub,"BinderHub, JupyterHub, Postgres Operator Cloudnative-PG, Scipion",1.0,True,en,0,4
How can I customize the software environment for my BinderHub notebooks?,BinderHub,"BinderHub, Welcome to the CERIT-SC Kubernetes Container Platform, Matlab, RStudio, JupyterHub",1.0,True,en,0,5
What should I do if I encounter an unknown error during notebook spawning?,BinderHub,"JupyterHub, BinderHub, ownCloud, Minio, Matlab",2.0,True,en,0,5
What is the maximum amount of CPU and RAM I can use on BinderHub?,BinderHub,"BinderHub, JupyterHub, GPU and other Resources, Projects, Namespaces, and Quotas, Scipion",1.0,True,en,0,5
How can I authenticate to use the CERIT-SC BinderHub instance?,BinderHub,"BinderHub, Storage, Harbor (hub.cerit.io), How to get Access",1.0,True,en,0,4
What are the prerequisites for adding a shell to an existing image?,Add shell to an image without one,"Add shell to an image without one, JupyterHub, Chat AI, Building Docker containers with Gitlab",1.0,True,en,0,4
What is the purpose of adding a shell to an image without one?,Add shell to an image without one,"Add shell to an image without one, Harbor (hub.cerit.io), Chat AI",1.0,True,en,0,3
How do you start the `add_shell.sh` script to add a shell to an image?,Add shell to an image without one,"Add shell to an image without one, Building Docker containers with Gitlab, ownCloud, Limitations of Running Docker Images",1.0,True,en,0,4
Where can you download the `add_shell.sh` script needed for adding a shell?,Add shell to an image without one,"Add shell to an image without one, ownCloud, Minio, Matlab",1.0,True,en,0,4
What should you do if you want to use the modified image in Kubernetes?,Add shell to an image without one,"Add shell to an image without one, Building Docker containers with Gitlab, JupyterHub, Harbor (hub.cerit.io)",1.0,True,en,0,4
What is the recommended way to merge related commands in a Dockerfile to optimize image size?,Dockerfile,"Dockerfile, Harbor (hub.cerit.io), Building Docker containers with Gitlab, Limitations of Running Docker Images, JupyterHub",1.0,True,en,0,5
Why is it important to use `&&` instead of `;` when chaining commands in a Dockerfile?,Dockerfile,"Limitations of Running Docker Images, Dockerfile, JupyterHub, Add shell to an image without one, Projects, Namespaces, and Quotas",2.0,True,en,0,5
What should you do if a Docker image has an `ENTRYPOINT` set and you want to execute a different command?,Dockerfile,"Limitations of Running Docker Images, Add shell to an image without one, Building Docker containers with Gitlab, Jobs, Welcome to the CERIT-SC Kubernetes Container Platform",,False,en,0,5
What are the potential risks associated with using external Docker images from public registries?,Dockerfile,"Limitations of Running Docker Images, Building Docker containers with Gitlab, Dockerfile, Running Virtual Machine, Jobs",3.0,True,en,0,5
How can you manually build a Docker image using a Dockerfile on a Linux machine?,Dockerfile,"Dockerfile, Limitations of Running Docker Images, Building Docker containers with Gitlab, Welcome to the CERIT-SC Kubernetes Container Platform, Harbor (hub.cerit.io)",1.0,True,en,0,5
Who are the other partners alongside CERIT-SC in the national e-INFRA CZ research infrastructure?,Contacts,"Contacts, How to get Access, RStudio, Welcome to the CERIT-SC Kubernetes Container Platform, Available Hardware",1.0,True,en,0,5
What role does CERIT-SC play in the national e-INFRA CZ research infrastructure?,Contacts,"Contacts, How to get Access, RStudio, Welcome to the CERIT-SC Kubernetes Container Platform, Ansys",1.0,True,en,0,5
What is the email address for general inquiries or service information at CERIT-SC?,Contacts,"Contacts, Requesting a Project, Access Control, How to get Access, Storage, RStudio",1.0,True,en,0,5
How can I submit a request for issues related to Kubernetes at CERIT-SC?,Contacts,"Contacts, How to get Access, Welcome to the CERIT-SC Kubernetes Container Platform, Requesting a Project, Access Control, Available Hardware",1.0,True,en,0,5
What kind of support does CERIT-SC offer for Kubernetes?,Contacts,"Contacts, Welcome to the CERIT-SC Kubernetes Container Platform, Available Hardware, How to get Access, Postgres Operator Cloudnative-PG",1.0,True,en,0,5
How can I run the ownCloud client application to sync data between a pod and the ownCloud server?,ownCloud,"ownCloud, Minio, Use case Omero, Postgres Operator Cloudnative-PG",1.0,True,en,0,4
What steps should I follow to install the ownCloud application in Rancher?,ownCloud,"ownCloud, Scipion, Rancher Applications, Personal Monitoring, ShinySOM",1.0,True,en,0,5
How do I check if a remote file system is connected to my home directory from the pod?,ownCloud,"ownCloud, Minio, Wireguard, ShinySOM",1.0,True,en,0,4
What prerequisite is necessary for the ownCloud client to sync data into a pod?,ownCloud,"ownCloud, Minio, Exposing Applications, Hello world tutorial",1.0,True,en,0,4
How can I delete a running instance of the ownCloud application?,ownCloud,"ownCloud, ShinySOM, BinderHub, phpMyAdmin, Moodle",1.0,True,en,0,5
How can I ensure that my ShinySOM application's data is preserved after deletion?,ShinySOM,"ShinySOM, ownCloud, Storage Secrets, Moodle, Scipion",1.0,True,en,0,5
What should I do if I want to install the ShinySOM application with a different namespace?,ShinySOM,"ShinySOM, Projects, Namespaces, and Quotas, Matlab, Samba Server, RStudio",1.0,True,en,0,5
How do I access the ShinySOM web application if I haven't logged in yet?,ShinySOM,"ShinySOM, Scipion, RStudio, Minio",1.0,True,en,0,4
What happens if the ShinySOM application exceeds the maximum allocated RAM?,ShinySOM,"RStudio, GPU and other Resources, Desktop, Matlab, Ansys",,False,en,0,5
What is the recommended practice for setting the access password for ShinySOM?,ShinySOM,"ShinySOM, Scipion, RStudio, Use case Omero, Storage Secrets",1.0,True,en,0,5
What action is required from users due to the change from Pod Security Policy (PSP) to Pod Security Admission (PSA)?,Security Context,"Security Context, FAQ, Minio, Storage",1.0,True,en,0,4
What are the important new options for the Pod security context mentioned in the document?,Security Context,"Security Context, Hello world tutorial, Exposing Applications, FAQ",1.0,True,en,0,4
Where should security options be specified in a Kubernetes deployment manifest?,Security Context,"Security Context, Jobs, How to Run NGINX Web Server, Limitations of Running Docker Images, FAQ",1.0,True,en,0,5
What are the important new options for the Container security context that need to be added to prevent deployment failures?,Security Context,"Security Context, Jobs, MinIO Operator, How to Run NGINX Web Server, FAQ",1.0,True,en,0,5
